seed,horizon,model,median_km,rank,is_best,router_pick
123,24h,CB+MotionNN,96.986,7,False,
123,24h,CatBoost,97.638,8,False,
123,48h,SECE v2 Phase3,216.671,1,True,SECE NNLS full
123,48h,Stacking Ensemble,218.689,2,False,
123,48h,XGBoost,218.935,3,False,
123,48h,Persistence Residual Cascade,220.923,4,False,
123,48h,LightGBM,222.968,5,False,
123,48h,Random Forest,225.88,6,False,
123,48h,CatBoost,226.446,7,False,
123,48h,CB+MotionNN,231.437,8,False,
2024,3h,Random Forest,4.907,1,True,
2024,3h,SECE v2 Phase3,4.973,2,False,STK+residual LGB
2024,3h,Stacking Ensemble,4.993,3,False,
2024,3h,LightGBM,6.021,4,False,
2024,3h,CB+MotionNN,6.097,5,False,
2024,3h,XGBoost,6.363,6,False,
2024,3h,CatBoost,8.375,7,False,
2024,3h,Persistence Residual Cascade,9.104,8,False,
2024,12h,SECE v2 Phase3,35.718,1,True,SECE NNLS full
2024,12h,Stacking Ensemble,37.272,2,False,
2024,12h,XGBoost,37.635,3,False,
2024,12h,LightGBM,37.662,4,False,
2024,12h,Random Forest,37.711,5,False,
2024,12h,Persistence Residual Cascade,37.841,6,False,
2024,12h,CB+MotionNN,38.062,7,False,
2024,12h,CatBoost,42.971,8,False,
2024,24h,XGBoost,105.442,1,True,
2024,24h,SECE v2 Phase3,105.559,2,False,SECE NNLS full
2024,24h,Stacking Ensemble,106.635,3,False,
2024,24h,Persistence Residual Cascade,106.689,4,False,
2024,24h,LightGBM,107.369,5,False,
2024,24h,Random Forest,108.597,6,False,
2024,24h,CB+MotionNN,109.876,7,False,
2024,24h,CatBoost,112.682,8,False,
2024,48h,Stacking Ensemble,255.264,1,True,
2024,48h,Persistence Residual Cascade,256.329,2,False,
2024,48h,XGBoost,259.244,3,False,
2024,48h,LightGBM,259.336,4,False,
2024,48h,SECE v2 Phase3,263.524,5,False,SECE NNLS full
2024,48h,Random Forest,264.545,6,False,
2024,48h,CB+MotionNN,265.21,7,False,
2024,48h,CatBoost,271.542,8,False,
2026,3h,Random Forest,4.727,1,True,
2026,3h,SECE v2 Phase3,4.727,2,False,Random Forest
2026,3h,Stacking Ensemble,4.735,3,False,
2026,3h,CB+MotionNN,5.822,4,False,
2026,3h,LightGBM,5.931,5,False,
2026,3h,XGBoost,6.22,6,False,
2026,3h,CatBoost,8.15,7,False,
