SID,ISO_TIME,shear_grad_motion,wspd850_std_patch,msl_trough_dist_km,msl_trough_bearing_deg,msl_patch_anom,shear_asym_motion
1941319N14083,1941-11-16 12:00:00,0.0145672515982981,1.2709612846374512,173.13668379385666,153.9628984791285,-6.828125,5.311952970061398
1941319N14083,1941-11-16 15:00:00,0.010471933712828,1.3326658010482788,163.11691766077908,162.57134252766764,-27.0546875,4.068826302896628
1941319N14083,1941-11-16 18:00:00,0.0234535461646273,1.1421228647232056,155.7669676791697,181.9971694803122,31.7421875,2.2867138131421267
1941319N14083,1941-11-16 21:00:00,0.074902272533588,1.1190049648284912,159.02437671110803,191.8188183931936,11.984375,4.0285168473077455
1941319N14083,1941-11-17 00:00:00,0.0467640753671615,1.610906004905701,155.7669676791697,181.9971694803122,3.9921875,1.9046785707100788
1941319N14083,1941-11-17 03:00:00,0.0250680505659811,2.2261176109313965,166.67038928744992,200.99414826113696,-29.5703125,3.4026764984636184
1941319N14083,1941-11-17 06:00:00,0.0754729246226533,2.5058486461639404,177.09654052027074,199.7054668595725,-0.7578125,7.170810054477752
1941319N14083,1941-11-17 09:00:00,0.0384909204734604,2.425711870193481,213.90595756404696,221.2376917042269,-37.2421875,6.570964083734584
1941319N14083,1941-11-17 12:00:00,0.0766798437813483,2.345416784286499,168.42733575593763,210.97491971640244,-22.28125,7.372342123122232
1941319N14083,1941-11-17 15:00:00,0.0839537820863238,1.8884665966033936,168.1853194746584,172.5965832158886,-6.0546875,7.17700060497679
1941319N14083,1941-11-17 18:00:00,0.1171038194352307,2.528221368789673,205.47112105194785,223.2240829755073,-3.5,9.990423612525944
1941319N14083,1941-11-17 21:00:00,0.11124333202082,2.165300846099853,213.7093569207598,221.18272100726725,2.5625,14.59070619673238
1941319N14083,1941-11-18 00:00:00,0.1236852263134586,2.126857280731201,201.3493623522264,224.27823544540104,-40.78125,10.46414360594363
1941319N14083,1941-11-18 03:00:00,0.0484485578919971,2.005262613296509,217.8253868250883,220.1922996128993,-41.9296875,6.235821490160184
