n_ibtracs_points,frac_missing_wmo_wind,frac_missing_usa_wind,frac_missing_newdelhi_wind,frac_track_not_main,frac_nature_nr,n_ready_points,frac_newdelhi_wind_missing_ready,frac_irregular_dt,frac_latnext_mismatch,genesis_year,SID
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1890.0,1890182N20088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1890.0,1890192N25084
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1890.0,1890224N24087
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1890.0,1890266N18085
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1890.0,1890283N14085
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1890.0,1890294N17090
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1891.0,1891140N10082
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1891.0,1891205N22088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1891.0,1891213N20091
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1891.0,1891224N23089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1891.0,1891245N20089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1891.0,1891248N21089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1891.0,1891254N20088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1891.0,1891260N19087
98,1.0,1.0,1.0,0.0,0.0,94.0,1.0,0.0,0.0,1891.0,1891263N16097
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1891.0,1891293N10084
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1891.0,1891305N10097
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1891.0,1891324N12088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1892.0,1892160N19089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1892.0,1892191N20089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1892.0,1892200N24086
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1892.0,1892204N23087
66,1.0,1.0,1.0,0.0,0.0,62.0,1.0,0.0,0.0,1892.0,1892242N18087
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1892.0,1892251N18091
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1892.0,1892263N15086
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1892.0,1892288N10092
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1892.0,1892292N14094
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1892.0,1892300N11086
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1893.0,1893115N12092
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1893.0,1893143N20087
66,1.0,1.0,1.0,0.0,0.0,62.0,1.0,0.0,0.0,1893.0,1893163N13092
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1893.0,1893176N23091
