SID,era,trk,delta_km,horizon
2005330N09096,181.60180965373306,189.9120986780417,8.310289024308645,48h
2005349N06090,219.0382940845731,257.3116335423877,38.273339457814615,48h
2010137N10090,224.75284210798424,331.72507594719923,106.972233839215,48h
2010293N17093,515.9700246185467,507.63613183936474,-8.333892779182008,48h
2010305N06105,118.48029452268486,94.81989139001914,-23.66040313266572,48h
2016230N21089,225.08178434196776,210.2817399475417,-14.800044394426067,48h
2016295N13089,290.730852883846,312.5919326749085,21.86107979106248,48h
2016308N13088,487.4893904705218,508.15307428831,20.663683817788183,48h
2017232N19130,390.4080581058129,330.1638244469605,-60.24423365885241,48h
2017307N07102,643.2072979051171,684.5372252321591,41.329927327042014,48h
2017333N06082,251.7009225191516,227.47716983678674,-24.223752682364847,48h
2018365N08115,162.2929932427889,179.30253959463252,17.009546351843625,48h
2019116N02090,217.02992507728774,205.44367087934836,-11.586254197939382,48h
2020353N06129,222.58189261209216,195.11449124139142,-27.467401370700742,48h
2022062N06085,186.86359284192585,218.6194260110685,31.755833169142647,48h
