role,SID,NAME,horizon,ISO_TIME,origin_lat,origin_lon,true_lat,true_lon,best_competitor_at_horizon,sece_v2_phase3_lat,sece_v2_phase3_lon,stacking_ensemble_lat,stacking_ensemble_lon,persistence_residual_cascade_lat,persistence_residual_cascade_lon,random_forest_lat,random_forest_lon,lightgbm_lat,lightgbm_lon,xgboost_lat,xgboost_lon,catboost_lat,catboost_lon,cbplusmotionnn_lat,cbplusmotionnn_lon
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 00:00:00,10.5,89.7,11.8,86.3,Stacking Ensemble,12.556312685330687,86.71633982128664,12.483103166011952,86.67934604358577,12.226995231111704,86.5702887568341,12.598333333333333,86.82766666666667,12.231388253227472,86.75717569034927,12.3579458,86.7653884,12.383648794908169,86.96240592339537,12.482824081588841,86.95192250066138
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 03:00:00,10.7,89.3,12.1,85.4,Stacking Ensemble,12.154932299527447,86.07142862349302,12.025767579917517,86.16335333110561,12.030232903510415,86.08105063752413,11.982333333333335,86.34933333333333,11.912280938613431,86.11791885427388,12.0455249,86.2358647,12.18055628160535,86.25152982493088,12.26911869169893,86.07637298525472
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 06:00:00,10.8,88.7,12.5,84.6,Stacking Ensemble,12.359642526752765,85.98907508054985,12.324174034913401,85.90401966103731,12.2358684905116,85.667723665285,12.315666666666669,86.33800000000001,12.242919988444696,85.89044444343048,12.1004422,85.7108616,12.152431008711366,85.58704016087277,12.554271828787847,86.14282750624305
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 09:00:00,11.0,88.3,12.9,84.0,Stacking Ensemble,12.94596257454957,85.94111572152416,12.75382884248528,85.7965373352687,12.707975333331685,85.70450328903914,12.738333333333333,86.11333333333333,12.641145690624004,85.67125708036113,12.7113056,85.8126839,12.608795901616137,85.6672326275225,13.113784387182662,86.232670345973
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 12:00:00,11.2,87.9,13.1,83.5,Stacking Ensemble,13.014064915944559,85.81980800978432,12.932895517650937,85.9392777105959,12.853441552333832,85.81583071938297,12.910333333333334,86.05966666666667,12.852890461521572,85.82779057386028,12.8040314,85.732743,12.7049838099906,85.3747349964952,12.939742509172085,85.71452188476506
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 15:00:00,11.4,87.6,13.1,83.0,Stacking Ensemble,12.955643378500653,85.4733524549141,12.935047373629022,85.65913867171487,12.819970513165616,85.48706663065416,12.913,85.83233333333332,12.808334017441597,85.43948258160316,12.746529800000001,85.43381559999999,12.849521011206479,85.22162643662566,12.936111376277372,85.22583868240577
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 18:00:00,11.6,87.2,13.1,82.6,Stacking Ensemble,12.844825817058267,84.84338670267293,12.921236526367139,85.21747902291396,12.860494816857317,84.95036460179004,13.259,85.255,12.737476650872182,85.03549200327491,12.7971921,85.02712960000001,12.82110510275301,84.44153285266053,12.7741624000532,84.34580252984371
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-17 21:00:00,11.7,86.8,13.1,82.1,Stacking Ensemble,12.740852195265719,83.36388126597495,12.593765594695594,83.49715207608439,12.700353949424652,83.53879907358534,12.613999999999999,83.568,12.64816422902284,83.68453476430693,12.617907059999999,83.734775,12.776178887862258,83.61970309636574,12.872524776308154,83.37035263269307
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-18 00:00:00,11.8,86.3,13.5,82.0,Stacking Ensemble,13.535345636595103,82.03161688387296,13.357959137947573,82.02696051214896,13.341537004631727,82.51087489149984,13.497666666666667,82.11266666666667,13.31561568838597,82.01219115388771,13.2247754,82.6177679,13.288460907418623,82.5520765145427,13.728105096860002,82.34649672670933
era5_helped_24h_48h,2010137N10090,LAILA (2010),24h,2010-05-18 03:00:00,12.1,85.4,13.5,81.8,Stacking Ensemble,14.47513546853702,80.74931530388099,14.327508606751081,80.22633801216855,14.25881298381357,80.77833746675043,14.293333333333333,80.185,14.233598842822564,80.5069587157002,14.142044199999999,80.83758250000001,14.216784197665984,81.36487964442573,14.830000609917269,82.09122031756556
